id,ep,title,guest,date,desc,link,cover,order,createdAt,updatedAt
pod-ep01,EP01,等一個人的真如café,,3/28,系列首集,https://www.youtube.com/watch?v=QzJmT6P0bac,,16,,
pod-ep02,EP02,等一個人的真如café,陳昱良,4/04,來賓：陳昱良,https://www.youtube.com/watch?v=QzJmT6P0bac,,15,,
pod-ep03,EP03,等一個人的真如café,潘翠雪,4/25,來賓：潘翠雪,https://www.youtube.com/watch?v=iEWhSuGwr8w,,14,,
pod-ep04,EP04,等一個人的真如café,盧郁仁,5/04,來賓：盧郁仁,https://www.youtube.com/watch?v=hvXQvoQLc1w,,13,,
pod-ep05,EP05,等一個人的真如café,何汶儒,5/25,來賓：何汶儒,https://www.youtube.com/watch?v=hvZUPkcUuFU,,12,,
pod-ep06,EP06,等一個人的真如café,張啟豐,6/04,來賓：張啟豐,https://www.youtube.com/watch?v=hvZUPkcUuFU,,11,,
pod-ep07,EP07,等一個人的真如café,林楚培,6/25,來賓：林楚培,https://www.youtube.com/watch?v=iUTZvEHOeB8,,10,,
pod-ep08,EP08,等一個人的真如café,温瑞萍,7/04,來賓：温瑞萍,https://www.youtube.com/watch?v=vW1yieXgBc4,,9,,
pod-ep09,EP09,等一個人的真如café,林采柔,7/25,來賓：林采柔,https://youtu.be/gFoVmOEoxC8,,8,,
pod-ep10,EP10,等一個人的真如café,閻凱偉,8/04,來賓：閻凱偉,https://youtu.be/dTamY1HhofM,,7,,
pod-ep11,EP11,等一個人的真如café,林淑菁,8/25,來賓：林淑菁,https://youtu.be/9ZjPF4W4Sp8,,6,,
pod-ep12,EP12,等一個人的真如café,石井希怜,9/04,來賓：石井希怜,https://www.youtube.com/watch?v=8VerqpmUa2U,,5,,
pod-ep13,EP13,等一個人的真如café,林志光,9/25,來賓：林志光,https://youtu.be/zQ-x1sEtYTU,,4,,
pod-ep14,EP14,等一個人的真如café,陳小玲,10/04,來賓：陳小玲,https://youtu.be/IPSVRaNWJ-Y,,3,,
pod-ep15,EP15,等一個人的真如café,林玉萍、陳千煒,10/25,來賓：林玉萍、陳千煒,https://youtu.be/eeNPLRBOEyE,,2,,
pod-ep16,EP16,等一個人的真如café,製作團隊,11/04,來賓：製作團隊,https://youtu.be/jHiBO_ptHMQ,,1,,
